pair_uid,candidate_language,data_bucket,candidate_scope,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,source_seller_raw_left,source_seller_raw_right,alias_normalized_left,alias_normalized_right,alias_relation,same_market_raw,item_count_left,item_count_right,shared_contact_count,shared_contact_types,shared_contact_values,shared_title_count,shared_title_values,shared_description_count,shared_description_values,shared_category_count,shared_category_values,lexical_similarity,structural_support_score,item_count_ratio,price_median_ratio,style_distance_l1,shared_pgp_fingerprint_count,shared_pgp_fingerprint_values,pgp_alias_hit_count_left,pgp_alias_hit_count_right,candidate_rule_hits,candidate_rule_count,candidate_rank_score,review_priority,left_preview,right_preview,review_status,review_label,reviewer_id,review_notes
products_data.csv|__unknown__|seller_id:1880883||products_data.csv|__unknown__|seller_id:1889980,zh,zh_target_aux,sockpuppet_primary,products_data.csv|__unknown__|seller_id:1880883,products_data.csv|__unknown__|seller_id:1889980,__unknown__,__unknown__,,,,,alias_missing,true,1,1,0,,,1,VN_越南_Zalo_Business扫脸实名成品号VPN,5,帮扫脸实名认证 ： 15U 开Business，商家： 20U 成品号： 普通Zalo成品号＞7天 ： 3U（6个起步）：未实名，不是越南网容易死，避免造成纠纷，慎拍，死了不包赔 || 普通Zalo成品号＞30天： 6U（2个起步）：未实名，不是越南网容易死，避免造成纠纷，慎拍，死了不包赔 || 在我这里用号尽管放心） 【登电脑端极力推荐】 越南VPN 10U 一个IP （记录你为常用越南IP,1,常规服务与操作,1.0,1.0,1.0,1.0,0.0,0,,0,0,profile_lexical_neighbor|shared_description_clone|shared_title_clone|structural_support,4,15.0,high,T: VN_越南_Zalo_Business扫脸实名成品号VPN || VN_越南_Zalo_Business扫脸实名成品号VPN | D: 【注意】 出号后半小时内要登录上去改密码，未实名号一旦被锁就凉，卡都是一次性的 固定一个老号作为陌生人，登录上去马上改密码，然后搜索这个陌生人跟他发消息，每天互发消息一次（一定要是互发消息，不是只单边发，3-5天） ZALO的风控比微信更严格 ---------------- 另有越南网购/快递数据一手出售，交易... | C: 常规服务与操作,T: VN_越南_Zalo_Business扫脸实名成品号VPN || VN_越南_Zalo_Business扫脸实名成品号VPN | D: 【注意】 出号后半小时内要登录上去改密码，未实名号一旦被锁就凉，卡都是一次性的 固定一个老号作为陌生人，登录上去马上改密码，然后搜索这个陌生人跟他发消息，每天互发消息一次（一定要是互发消息，不是只单边发，3-5天） ZALO的风控比微信更严格 ---------------- 另有越南网购/快递数据一手出售，交易... | C: 常规服务与操作,pending,,,
products_data.csv|__unknown__|seller_id:566317||products_data.csv|__unknown__|seller_id:588456,zh,zh_target_aux,sockpuppet_primary,products_data.csv|__unknown__|seller_id:566317,products_data.csv|__unknown__|seller_id:588456,__unknown__,__unknown__,,,,,alias_missing,true,2,1,0,,,1,币圈外汇股民领英数据一美国新墨西哥州33万条33美金,1,"币圈外汇股民领英数据一美国新墨西哥州33万条33美金 ""↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰",1,虚拟物品,0.811196,0.667982,0.5,0.198198,0.052541,0,,0,0,profile_lexical_neighbor|shared_description_clone|shared_title_clone|structural_support,4,13.20314,high,"T: 币圈外汇股民领英数据一美国新墨西哥州33万条33美金 || 币圈外汇股民领英数据一美国新墨西哥州33万条33美金 | D: 澳大利亚币圈310万其一30万条300美金一14 ""↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰 | C: 虚拟物品","T: 币圈外汇股民领英数据一美国新墨西哥州33万条33美金 || 币圈外汇股民领英数据一美国新墨西哥州33万条33美金 | D: 币圈外汇股民领英数据一美国新墨西哥州33万条33美金 ""↓ 商品都是网盘秒发货，【拍后MEGA网盘自动发货】,【商品底部链接直接下载】,【商品下载链接长期有效，会不定期更新最新数据】 定期登录，有问必答，欢迎骚扰 | C: 虚拟物品",pending,,,
products_data.csv|__unknown__|seller_id:187565||products_data.csv|__unknown__|seller_id:49925,zh,zh_target_aux,sockpuppet_primary,products_data.csv|__unknown__|seller_id:187565,products_data.csv|__unknown__|seller_id:49925,__unknown__,__unknown__,,,,,alias_missing,true,1,1,0,,,0,,5,（PS.本来就是暗网卡，不建议大家长期持有，最后钱不过夜） 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队亲自办理的新卡，没有任何交易记录（都是本地人，出问题随时可以找到人） 保质期2个月，介意忽下单，可以延期(收到货开始算时间） 当天办理当天发货，晚上下单第二天办理完发货，(国内包邮（默认顺丰），国际邮费自理） 拍下后留收货地址，联系电... || 3.银行可以指定(指定银行暂只支持中，农，建，工，邮政，交通，中信)，实名手机卡也可以指定运营商(会预留五十话费) || [订制附加费] 1.如需绑定支付宝 微信 加 2份 2.如需开通国际漫游 加 1份 3.如需延长保用时间，费用为每月/500￥(5份),1,实体发货商品,0.976748,0.982628,1.0,0.933333,0.005642,0,,0,0,profile_lexical_neighbor|shared_description_clone|structural_support,3,12.825744,high,T: 1500￥出定制四件套，无条件售后质保两个月(四大行任君选择，还可指定运营商可开国际漫游) || 1500￥出定制四件套，无条件售后质保两个月(四大行任君选择，还可指定运营商可开国际漫游) | D: （PS.本来就是暗网卡，不建议大家长期持有，最后钱不过夜） 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队亲自办理的新卡，没有任何交易记录（都是本地人，出问题随时可以找到人） 保质期2个月，介意忽下单，可以延期(收到货开始算时间） 当天办理当天发货，晚上下单第二天办理完发货，(国内包邮（默认顺丰），... | C: 实体发货商品,T: 1800出定制四件套无条件售后质保两个月可开国际漫游 || 1800出定制四件套无条件售后质保两个月可开国际漫游 | D: （PS.本来就是暗网卡，不建议大家长期持有，最后钱不过夜） 质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队亲自办理的新卡，没有任何交易记录（都是本地人，出问题随时可以找到人） 保质期2个月，介意忽下单，可以延期(收到货开始算时间） 当天办理当天发货，晚上下单第二天办理完发货，(国内包邮（默认顺丰），... | C: 实体发货商品,pending,,,
products_data.csv|__unknown__|seller_id:425820||products_data.csv|__unknown__|seller_id:665332,zh,zh_target_aux,sockpuppet_primary,products_data.csv|__unknown__|seller_id:425820,products_data.csv|__unknown__|seller_id:665332,__unknown__,__unknown__,,,,,alias_missing,true,1,1,0,,,0,,2,拍下，mega网盘自动发软件，（因详情页包含了使用教程，拍下只发一个软件工具） 一经拍下，除非链接实效，一律不接受退款（软件使用除外，如果有问题，带上你的问题私信我），有想白嫖的货就不要拍了，拍了一律不退 || 只要打一个QQ电话，不管对方接还是拒接，或不接，都能就直接抓到对方IP,1,教程与文档,0.930599,0.940351,1.0,0.789474,0.05614,0,,0,0,profile_lexical_neighbor|shared_description_clone|structural_support,3,12.464296,high,T: QQ抓包查IP软件含使用教程 || QQ抓包查IP软件含使用教程 | D: 拍下，mega网盘自动发软件，（因详情页包含了使用教程，拍下只发一个软件工具） 一经拍下，除非链接实效，一律不接受退款（软件使用除外，如果有问题，带上你的问题私信我），有想白嫖的货就不要拍了，拍了一律不退 | C: 教程与文档,T: qq抓包查ip工具包含使用教程 || qq抓包查ip工具包含使用教程 | D: 拍下，mega网盘自动发软件，（因详情页包含了使用教程，拍下只发一个软件工具） 一经拍下，除非链接实效，一律不接受退款（软件使用除外，如果有问题，带上你的问题私信我），有想白嫖的货就不要拍了，拍了一律不退 | C: 教程与文档,pending,,,
products_data.csv|__unknown__|seller_id:342919||products_data.csv|__unknown__|seller_id:75066,zh,zh_target_aux,sockpuppet_primary,products_data.csv|__unknown__|seller_id:342919,products_data.csv|__unknown__|seller_id:75066,__unknown__,__unknown__,,,,,alias_missing,true,9,6,0,,,1,价值五六千元的内部全套深度催眠培训课程 初级高级瞬间暴力催眠,2,价值五六千元的内部全套深度催眠培训课程 初级高级瞬间暴力催眠 基础理论初级催眠 11篇 手把手教实战 9篇 自我催眠 3篇 实例 5级催眠负性幻觉 手指变成手枪 实例 5级催眠负性幻觉 将人变成悟空 实例 6级催眠记忆回溯前世今生 催眠中级理论 2篇 催眠治疗讲解 4篇 催眠高级理论 6篇 高级实战催眠 2篇 瞬间催眠与心锚建立（精华中的精华） 6篇 ... || 价值五六千元的内部全套深度催眠培训课程 初级高级瞬间暴力催眠 基础理论初级催眠 11篇 手把手教实战 9篇 自我催眠 3篇 实例 5级催眠负性幻觉 手指变成手枪 实例 5级催眠负性幻觉 将人变成悟空 实例 6级催眠记忆回溯前世今生 催眠中级理论 2篇 催眠治疗讲解 4篇 催眠高级理论 6篇 高级实战催眠 2篇 瞬间催眠与心锚建立（精华中的精华） 6篇 ...,1,教程与文档,0.609926,0.605601,0.666667,0.557621,0.103767,0,,0,0,profile_lexical_neighbor|shared_description_clone|shared_title_clone|structural_support,4,11.870758,high,T: 价值五六千元的内部全套深度催眠培训课程 初级高级瞬间暴力催眠 || 价值五六千元的内部全套深度催眠培训课程 初级高级瞬间暴力催眠 | D: 《中国民间秘术》部分清单 “半夜鬼敲门” “屁王贴” “千杯不醉” “竹篮打水” “油锅取物” “方形鸡蛋” “日捉百鸟” “药功脱衣法” “药练轻功术” “神符显字” “美菜难咽法” “食物不见法” “蚊子不咬术” “收鸡不叫法” “呼鱼自来法” “厨师难受法” “手指点灯法” “千杯不醉法” “一杯醉倒法” ... | C: 技术服务[非教程] || 虚拟物品,T: 企业经营全套执照证件PS模板（营业执照、组织机构代码证、税务登记证、安全生产许可证、开户许可证、企业法人营业执照） || HACK 黑客新手综合书藉+破解技术 | D: 企业经营全套执照证件PS模板，可随意编辑填写 新版营业执照 正（副）本、 组织机构代码证、 税务登记证 正（副）本、 安全生产许可证 正（副）本、 开户许可证、 企业法人营业执照 正（副）本、 电子印章 全套文件为PS模板，打包1.06G，用途自己开发，购买者如作非法用途，自行承担法律风险和后果 | C: 教程与文档 || 实体发货商品,pending,,,
products_data.csv|__unknown__|seller_id:506844||products_data.csv|__unknown__|seller_id:528850,zh,zh_target_aux,sockpuppet_primary,products_data.csv|__unknown__|seller_id:506844,products_data.csv|__unknown__|seller_id:528850,__unknown__,__unknown__,,,,,alias_missing,true,1,1,0,,,0,,3,质量有保证（不会出现黑吃黑，取现，网银转账） 都是自己人带队去银行开卡的，卡主主要为工厂工人，出现资金问题可追回 || 发货：拍下后请留下收货地址和联系方式，一般当天中午十二点前下单当天发，十二点过后下单隔天发 || 产品的售出不是我们的目的，持久的合作才是我们的宗旨,1,实体发货商品,0.819613,0.937903,1.0,0.766467,0.029714,0,,0,0,profile_lexical_neighbor|shared_description_clone|structural_support,3,11.793484,high,T: 自己实体工厂开银行卡四件套900RMB一套稳定 || 自己实体工厂开银行卡四件套900RMB一套稳定 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租5份每月 | C: 实体发货商品,T: 全新空白银行卡安全可靠美国台湾中国现货1200顺丰包邮 || 全新空白银行卡安全可靠美国台湾中国现货1200顺丰包邮 | D: (不可控的司法冻结不在售后范围) 商品：四件套有：身份证，银行卡，手机号码卡，U盾 用途：方便客户匿名身份，洗黑.洗白.取现，加强隐蔽， 方便走账，过账，做生意，汇款.送礼各种商业用途，保护自己的隐私 质保三个月过后如还需要的话可续租500每月 | C: 实体发货商品,pending,,,
products_data.csv|__unknown__|seller_id:319180||products_data.csv|__unknown__|seller_id:65684,zh,zh_target_aux,sockpuppet_primary,products_data.csv|__unknown__|seller_id:319180,products_data.csv|__unknown__|seller_id:65684,__unknown__,__unknown__,,,,,alias_missing,true,2,1,0,,,0,,6,第1课社工的简介 第2课社工的基本思路 第3课先见证一下社工的威力简单社工QQ和支付宝 第4课搜索引擎的利用 第5课本地搭建社工库 第6课社工库的利用 实战破解其他论坛账号+支付宝 第7课信息收集之域名whois的利用 第8课利用财付通获取身份证号码和验证身份证号码 第9课利用招聘网站获取身份证号码 第10课更加坑爹的58同城直接获取身份照片 第11课... || (1) 冷读术 (2) 现实世界的诱惑术 (3) 五步陷阱 (4) 杂耍人方法 (5) 吸引力原理 (6) 搭讪圣经 (7) 谜男方法 2.2018年最新黑客社会工程学视频教程 社会工程学在现实中随处可见，并且各领域对它的称呼各不相同， 从行走江湖的各路活神仙，老神棍，大师，到传销公司，到p2p金融骗子， 到现在各种自媒体的运营，以及巨头们的市场公关部... || 除了社会工程学这个名字以外，有人称它为话术，有人说这是厚黑，培训公司称之为沟通技巧，迷男们管这叫PUA,1,教程与文档,0.867791,0.743621,0.5,0.4875,0.026031,0,,0,0,profile_lexical_neighbor|shared_description_clone|structural_support,3,11.693988,high,T: 适用新手黑客，攻击原理及手法距离，黑客基础教程 || 适用新手黑客，攻击原理及手法距离，黑客基础教程 | D: 第1课社工的简介 第2课社工的基本思路 第3课先见证一下社工的威力简单社工QQ和支付宝 第4课搜索引擎的利用 第5课本地搭建社工库 第6课社工库的利用 实战破解其他论坛账号+支付宝 第7课信息收集之域名whois的利用 第8课利用财付通获取身份证号码和验证身份证号码 第9课利用招聘网站获取身份证号码 第10课更加... | C: 教程与文档,"T: 黑暗变态心理学教程+黑客社会工程学教程,都是你们想要的东西进来看图! || 黑暗变态心理学教程+黑客社会工程学教程,都是你们想要的东西进来看图! | D: 第1课社工的简介 第2课社工的基本思路 第3课先见证一下社工的威力简单社工QQ和支付宝 第4课搜索引擎的利用 第5课本地搭建社工库 第6课社工库的利用 实战破解其他论坛账号+支付宝 第7课信息收集之域名whois的利用 第8课利用财付通获取身份证号码和验证身份证号码 第9课利用招聘网站获取身份证号码 第10课更加... | C: 教程与文档",pending,,,
products_data.csv|__unknown__|seller_id:28409||products_data.csv|__unknown__|seller_id:697110,zh,zh_target_aux,sockpuppet_primary,products_data.csv|__unknown__|seller_id:28409,products_data.csv|__unknown__|seller_id:697110,__unknown__,__unknown__,,,,,alias_missing,true,1,1,0,,,0,,1,"一次性开不了这么多, 我确实也没办法 每天晚上过来收单. 上面写的很细, 直接下单即可",1,实体发货商品,0.68582,0.957579,1.0,0.833333,0.006032,0,,0,0,profile_lexical_neighbor|shared_description_clone|structural_support,3,11.030078,high,"T: 四件套出售或租用 || 四件套出售或租用 | D: 新推出功能 租用, 押人. 大量一类卡, 接资金. 起步资金 1000 定金, 拍10份, 过滤掉只询价不交易的客户, 时间不够用来不及. 高质量三件套, 3500 元, 拍 35份 质保三个月, 10万以下包赔付, 质保期限从快递单上发货日开始. 可加盾, 加1000元, 多拍10份 为什么加盾要多这么多 | C: 实体发货商品","T: 银行卡三件套 || 银行卡三件套 | D: (建议不用弄盾, 手机银行每天10万转账额度也足够了, 手机设备和交易所建议提前弄上,拿到手就能用,自己想怎么操作就可以立即操作, 否则还要再人脸识别什么的很麻烦) 微信人脸绑卡+500RMB拍5份 交易所注册人脸身份绑定+400RMB拍4份 手机设备: +800RMB 拍8份 (设备是提前让小弟把手机银行交易所... | C: 实体发货商品",pending,,,
products_data.csv|__unknown__|seller_id:569984||products_data.csv|__unknown__|seller_id:640120,zh,zh_target_aux,sockpuppet_primary,products_data.csv|__unknown__|seller_id:569984,products_data.csv|__unknown__|seller_id:640120,__unknown__,__unknown__,,,,,alias_missing,true,3,1,0,,,0,,1,前提是需要你自己安装到被控端手机上，这个自己想办法,1,技术服务[非教程],0.830905,0.411161,0.333333,0.009009,0.395395,0,,0,0,profile_lexical_neighbor|shared_description_clone,2,10.807752,high,T: 监听别人手机信息微信qq聊天记录实时定位汇报 || 监听别人手机信息微信qq聊天记录实时定位汇报 | D: 本软件通过邮箱服务监听，达到定时汇报监控别人微信QQ短信等聊天记录，还有定时汇报定位，录音等功能 | C: 技术服务[非教程] || 教程与文档,T: 实时监控她人微信QQ短信等聊天记录 || 实时监控她人微信QQ短信等聊天记录 | D: 通过邮箱服务监听，达到定时汇报监控别人微信QQ短信等聊天记录，还有定时汇报定位，录音等功能 | C: 技术服务[非教程],pending,,,
products_data.csv|__unknown__|seller_id:504679||products_data.csv|__unknown__|seller_id:569161,zh,zh_target_aux,sockpuppet_primary,products_data.csv|__unknown__|seller_id:504679,products_data.csv|__unknown__|seller_id:569161,__unknown__,__unknown__,,,,,alias_missing,true,1,2,0,,,0,,1,提供微信原始ID或者微信号QQ号即可，提取指定微信QQ好友列表-- 五个起2200 BCQP欢迎大佬来询,1,常规服务与操作,0.743846,0.618374,0.5,0.042553,0.138112,0,,0,0,profile_lexical_neighbor|shared_description_clone|structural_support,3,10.699824,high,T: 提取微信QQ好友 || 提取微信QQ好友 | D: 量大另谈 客户可搜索微信号添加其为好友，也可转换二维码添加 | C: 常规服务与操作,T: 全家户籍查询同户口查询 || 微信qq好友列表提取 | D: 量大另谈 备注内容（2000个好友）全网独家 客户可搜索微信号添加其为好友，也可通过技术转换二维码添加 @有疑问留言咨询 | C: 常规服务与操作,pending,,,
