pair_uid,data_bucket,candidate_language,split_name,split_component_id,review_label,review_stratum,usable_for_supervision,usable_for_core_transfer,candidate_rule_hits,shared_contact_count,shared_pgp_fingerprint_count,shared_title_count,shared_description_count,embedding_cosine_multilingual_e5_large,embedding_cosine_bge_m3,embedding_cosine_labse,structural_support_score_raw,source_seller_raw_left,source_seller_raw_right,identity_label,evidence_type,evidence_type_confident,identity_training_eligible,has_direct_identifier_signal,has_template_clone_signal,has_semantic_topic_signal,has_public_contact_or_url_noise_signal,evidence_type_reasons
market_item.xlsx|apollon market|seller_raw:Bestbars (100%)||market_item.xlsx|apollon market|seller_raw:keranvends (100%),en_content_train_pool,en,train,comp_00062,positive,identifier_plus_text,1,1,,,,,,0.968932,0.965182,0.970101,0.836521,Bestbars (100%),keranvends (100%),same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|apollon market|seller_raw:cocaineuk1 (98%)||market_item.xlsx|apollon market|seller_raw:ukcocaine (100%),en_content_train_pool,en,train,comp_00105,positive,text_clone_primary,1,1,,,,,,0.993623,0.985,0.985598,0.972469,cocaineuk1 (98%),ukcocaine (100%),same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Ahero||market_item.xlsx|silk road 3.1|seller_raw:Bnnemannen,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.958745,0.948326,0.971017,1.0,Ahero,Bnnemannen,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|Lime|seller_raw:Benzopharma||market_item.xlsx|agartha market|seller_raw:vinicius12,en_content_train_pool,en,test,comp_00029,positive,identifier_primary,1,1,,,,,,0.929795,0.874365,0.919729,0.044344,Benzopharma,vinicius12,same_controller,same_controller_direct_identifier,1,1,1,0,1,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:hitler123||market_item.xlsx|silk road 3.1|seller_raw:mcpickles,en_content_train_pool,en,valid,comp_00211,negative,semantic_only,1,1,,,,,,0.936924,0.90008,0.931711,0.368353,hitler123,mcpickles,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|Cartel|seller_raw:melvinbankz||market_item.xlsx|tor2door market|seller_raw:Melvinbankz,en_content_train_pool,en,audit_only,,positive,same_alias_continuity,0,0,,,,,,0.953476,0.913485,0.968287,0.432208,melvinbankz,Melvinbankz,same_controller,same_controller_direct_identifier,1,0,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count
market_item.xlsx|agartha market|seller_raw:Rodrigomendez||market_item.xlsx|agartha market|seller_raw:truu00,en_content_train_pool,en,train,comp_00030,positive,identifier_plus_text,1,1,,,,,,0.961314,0.94667,0.968617,0.744102,Rodrigomendez,truu00,same_controller,same_controller_direct_identifier,1,1,1,1,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
market_item.xlsx|silk road 3.1|seller_raw:1SRRR1||market_item.xlsx|silk road 3.1|seller_raw:SRRR,en_content_train_pool,en,train,comp_00162,positive,text_clone_primary,1,1,,,,,,0.983189,0.982928,0.994235,0.982403,1SRRR1,SRRR,same_controller,same_controller_style_structural_soft,1,1,0,1,0,0,positive_without_direct_identifier
market_item.xlsx|silk road 3.1|seller_raw:Ahero||market_item.xlsx|silk road 3.1|seller_raw:FABIUS007,en_content_train_pool,en,valid,comp_00167,negative,semantic_structural,1,1,,,,,,0.963501,0.93935,0.957328,1.0,Ahero,FABIUS007,different_controller,ordinary_negative,1,1,0,0,0,0,negative_without_hard_ambiguity
market_item.xlsx|silk road 3.1|seller_raw:Redstevens07||market_item.xlsx|silk road 3.1|seller_raw:maskmark,en_content_train_pool,en,test,comp_00229,positive,identifier_primary,1,1,,,,,,0.961891,0.956977,0.968555,0.808698,Redstevens07,maskmark,same_controller,same_controller_direct_identifier,1,1,1,0,0,1,feature_has_shared_contact_exact|feature_shared_contact_count|review_stratum:identifier
