balanced_review_rank,review_stratum,pair_uid,candidate_scope,review_priority,candidate_rule_hits,candidate_rank_score,alias_relation,same_market_raw,source_market_raw_left,source_market_raw_right,source_seller_raw_left,source_seller_raw_right,shared_contact_values,shared_title_values,shared_description_values,shared_category_values,shared_pgp_fingerprint_values,lexical_similarity,structural_support_score,left_preview,right_preview,review_status,review_label,reviewer_id,review_notes
1,identifier_plus_text,market_item.xlsx|茶马古道|seller_raw:/shop/449035||market_item.xlsx|茶马古道|seller_raw:/shop/461222,sockpuppet_primary,high,profile_lexical_neighbor|shared_contact_exact|shared_description_clone|shared_title_clone,22.357386,different_alias,true,茶马古道,茶马古道,/shop/449035,/shop/461222,telegram:brofish8,2021最新邮件群发软件 高效 稳定 购买后找我要激活码@brofish8 || 最新，最全面，挑选最好看的裸贷女。包含联系方式。 || 企业邮局出租 域名随机 邮件营销必备 || 低价转让！美国亚马逊用户邮箱140万,此商品价格包含软件+激活码 注意：激活码绑定设备，所以不能多台电脑公用一个激活码 || 此宝贝需要根据本地机器码激活，下载后发本地机器码给我，我给你开通激活码 || 全网借贷宝全大学生少妇裸贷裸条数据资源，2018年至今市面最全裸贷信息,技术 || 数据,,0.710652,0.546737,T: 2020 超实用网页机器人工具 自动点击 自动填写 高效稳定 || 最新，最全面，挑选最好看的裸贷女。包含联系方式。 | D: 2021综合博彩_24785条金沙娱乐城带网址可验证 2021年1月脱库金沙娱乐城，网址：5312u.com，24785条 数据格式：account|full_name|phone|balance|reg_ip|address 数据可在线验证，保真不保效果，拍下自动发货 数量不多，稀缺资源，贵在真实 数据具有可复... | C: 数据 || 技术,T: 2021最新邮件群发软件 高效 稳定 购买后找我要激活码@brofish8 || 2021最新邮件群发软件 高效 稳定 购买后找我要激活码@brofish8 | D: 亚马逊购买者邮箱，附带抓取地址，都是真实购买者，可群发做营销 钓鱼等等自己开发 | C: 数据 || 技术,reviewed,positive,codex_step5_v3_calibrated_default_rereview_20260420,Corrected Step 5 v3 calibrated-default cleanup: direct shared-contact anchor retained in the current Step 11 primary graph. The shared seller-specific contact plus content overlap is strong enough to keep as positive supervision.
2,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:167147||market_item.xlsx|中文暗网交易市场|seller_raw:65684,sockpuppet_primary,high,profile_lexical_neighbor|shared_description_clone|shared_title_clone|structural_support,18.234686,different_alias,true,中文暗网交易市场,中文暗网交易市场,167147,65684,,"美国8岁小女孩被他爸爸培养成性奴舔穴口交吞精肛交长得很漂亮總共十八個影片 || 极乐世界绝版1-5岁幼交资源伤害Meh蹒跚学步的孩子颠覆你的色情观，详情看图吧 || 5岁乌克兰幼女被父母变态性奴调教,口交,肛交,拳交,捆绑,打屁股,撒尿各种 || 史上最牛真实下药迷奸极品妹子暴力开眼玩,秒杀之前一切作品！ || 黑暗变态心理学教程+黑客社会工程学教程,都是你们想要的东西进来看图!","《性爱宝典》珍藏版中文版 目录 Vol.1 基础技巧篇 打开性快感大脑的魔法技巧 学柔软性爱 上部 (47分) 1.彩虹吻 2.关于掌心抚摸 下部 (64分) 1.关于亚当抚摸 2.基本亚当抚摸的方法 3.掌心抚摸和亚当抚摸 4.亚当抚摸的基础 5.痒的时候的对应 6.亲吻与亚当抚摸 Vol.2 初级技巧篇（1） 将全身变为性快感带的“亚当SEX”的真... || 精品资源,调教过程清楚,视频质量也是上乘,一共4个视频 调教内容包括口交,肛交,拳交,捆绑,打屁股,撒尿各种变态 赠品: 可获得本人精心整理的最新“掀翻韩国娱乐圈的《Bigbang胜利门性丑闻》完整版视频 虚拟产品具有复制性，一经购买拒绝退款，已设置付款查看第一帖，下载链接就在第一帖里，链接失效私信联系我补链接 || 长靴黑丝1米7几的超级大长腿极品身材妹子被下药后完全死猪状态，从头到尾各种暴力虐玩没任何反应一动不动，史无前例的开眼器暴力翻眼、站起来暴力操玩，解锁各种高难度姿势、妹子屁眼全开、 各种拖拉拽翻滚柔软的身体毫无知觉的被随意玩弄，玩脸、翻眼、玩嘴、用手跟脚玩胸、各种道具、黑丝长腿美脚、恋足玩脚、暴力操玩",影视色情 || 技术技能,,0.872602,0.999537,"T: 美国8岁小女孩被他爸爸培养成性奴舔穴口交吞精肛交长得很漂亮總共十八個影片 || 5岁乌克兰幼女被父母变态性奴调教,口交,肛交,拳交,捆绑,打屁股,撒尿各种 | D: 《性爱宝典》珍藏版中文版 目录 Vol.1 基础技巧篇 打开性快感大脑的魔法技巧 学柔软性爱 上部 (47分) 1.彩虹吻 2.关于掌心抚摸 下部 (64分) 1.关于亚当抚摸 2.基本亚当抚摸的方法 3.掌心抚摸和亚当抚摸 4.亚当抚摸的基础 5.痒的时候的对应 6.亲吻与亚当抚摸 Vol.2 初级技巧篇（1）... | C: 影视色情 || 技术技能","T: 美国8岁小女孩被他爸爸培养成性奴舔穴口交吞精肛交长得很漂亮總共十八個影片 || 黑暗变态心理学教程+黑客社会工程学教程,都是你们想要的东西进来看图! | D: 《性爱宝典》珍藏版中文版 目录 Vol.1 基础技巧篇 打开性快感大脑的魔法技巧 学柔软性爱 上部 (47分) 1.彩虹吻 2.关于掌心抚摸 下部 (64分) 1.关于亚当抚摸 2.基本亚当抚摸的方法 3.掌心抚摸和亚当抚摸 4.亚当抚摸的基础 5.痒的时候的对应 6.亲吻与亚当抚摸 Vol.2 初级技巧篇（1）... | C: 影视色情 || 技术技能",reviewed,uncertain,codex_step5_v3_cleanup_20260416,Step 5 v3 targeted cleanup: revoke previous positive. Exact clone overlap inside the mixed-template clique is not enough to prove same controller without seller-specific anchor support.
3,semantic_structural,market_item.xlsx|中文暗网交易市场|seller_raw:210589||market_item.xlsx|中文暗网交易市场|seller_raw:58949,sockpuppet_primary,medium,profile_lexical_neighbor|structural_support,7.851008,different_alias,true,中文暗网交易市场,中文暗网交易市场,210589,58949,,,,私人专拍,,1.0,0.925504,T: fuck0ne的私拍 || fuck0ne的私拍 | D: fuck0ne的私拍 | C: 私人专拍,T: zhang666的私拍 || zhang666的私拍 | D: zhang666的私拍 | C: 私人专拍,reviewed,negative,codex_seed_v1,Private-shoot template is too generic and lacks seller-specific identifiers.
4,identifier_primary,market_item.xlsx|中文暗网交易市场|seller_raw:605194||market_item.xlsx|茶马古道|seller_raw:/shop/441160,sockpuppet_primary,high,profile_lexical_neighbor|shared_contact_exact,9.412716,different_alias,false,中文暗网交易市场,茶马古道,605194,/shop/441160,telegram:ggz668,,,,,0.466813,0.305919,T: 鬼谷子长期出一手女性购物数据母婴化妆服装数据一直都在更新中 || 鬼谷子长期出一手女性购物数据母婴化妆服装数据一直都在更新中 | D: 长期出一手购物数据、母婴 美妆 童装 女装 万家 单店 TB JD PDD 唯品会 最近日期12月1月数据一直都在更新中.... 需要联系飞机✈️TG：@GGZ668(鬼谷子) | C: 数据资源,T: 出售购物数据 淘宝 京东 快递投诉 唯品会 抖音（数据一直都有更新） || 唯品会淘宝母婴化妆12/20月女性购物数 数据一直都在更新中 | D: 长期出一手购物数据、母婴 美妆 童装 女装 万家 单店 TB JD PDD 唯品会 最近日期2021年1月份、数据一直都在更新中.... 需要联系飞机✈️TG：@GGZ668(鬼谷子) 国内没有飞机的朋友留下你的联系方式 | C: 数据,reviewed,positive,codex_seed_v1,Shared Telegram handle and near-identical shopping-data sales copy across markets.
5,semantic_only,market_item.xlsx|中文暗网交易市场|seller_raw:610694||market_item.xlsx|中文暗网交易市场|seller_raw:611478,sockpuppet_primary,medium,profile_lexical_neighbor,6.124332,different_alias,true,中文暗网交易市场,中文暗网交易市场,610694,611478,,,,服务业务,,0.86381,0.470736,T: 打手服务一接伤残单一接各种意外伤残亡单 || 打手服务一接伤残单一接各种意外伤残亡单 | D: 1.滴滴打人，各种你不方便出面的都可委托我们解决，如小区单位油漆写字，车上写字等搞臭其名声 家里丢死动物恐吓目标等等个各种私人定制 2.伤残单 ， 轻伤，重伤断手断脚等 3.艾滋针等传染病针 4.亡单 5.各种私人定制，只要你的预算足够，我们都能为你服务，不接政治相关单子 需要的客户请下随意金额订单咨询，可以随时退款 | C: 服务业务,T: 打手服务一一各种伤残一亡单一一私人定制 || 打手服务一一各种伤残一亡单一一私人定制 | D: 1万元 家里丢死动物恐吓目标等等个各种私人定制 2.伤残单 ， 轻伤，重伤断手断脚等 轻伤2万，断手脚10万 3.艾滋针等传染病针 10万 4.亡单150万 5.各种私人定制，只要你的预算足够，我们都能为你服务，不接政治相关单子 需要的客户请下随意金额订单咨询，可以随时退款 | C: 服务业务 || 虚拟物品,reviewed,uncertain,codex_seed_v1,"Substantial wording overlap, but no identifier support and the service template may be reused."
6,identifier_plus_text,market_item.xlsx|茶马古道|seller_raw:/shop/454497||market_item.xlsx|茶马古道|seller_raw:/shop/454507,sockpuppet_primary,high,profile_lexical_neighbor|shared_contact_exact|shared_description_clone|shared_title_clone|structural_support,19.580966,different_alias,true,茶马古道,茶马古道,/shop/454497,/shop/454507,telegram:jxxhx9985,承接一道二道资金 回U回现同台回卡,承接一道二道资金 回U回现同台回卡承接一道二道资金 回U回现同台回卡 承接一道二道资金 回U回现同台回卡 承接一道二道资金 回U回现同台回卡 tg@jxxhx9985,四件套号卡 || 洗车精洗,,0.817098,0.839189,T: 承接一道二道资金 可回现回U回卡 || 承接一道二道资金 可回现回U回卡 | D: 承接一道二道资金 可回现回U回卡承接一道二道资金 可回现回U回卡 承接一道二道资金 可回现回U回卡承接一道二道资金 可回现回U回卡 tg@jxxhx9985 | C: 洗车精洗 || 四件套号卡,T: 承接一道二道资金 一笔一回 长期合作 || 同台收U 现金收U 量大的联系我 | D: 承接一道二道资金 一笔一回 长期合作承接一道二道资金 一笔一回 长期合作 承接一道二道资金 一笔一回 长期合作承接一道二道资金 一笔一回 长期合作 TG@jxxhx9985 | C: 四件套号卡 || 洗车精洗,reviewed,positive,codex_seed_v1,Shared Telegram handle plus cloned financial-service copy in the same market.
7,text_clone_primary,market_item.xlsx|中文暗网交易市场|seller_raw:597091||market_item.xlsx|茶马古道|seller_raw:/shop/439316,sockpuppet_primary,high,profile_lexical_neighbor|shared_description_clone|shared_title_clone,15.999512,different_alias,false,中文暗网交易市场,茶马古道,597091,/shop/439316,,对公一手卡源价低可压人全天在线 || 4件套一手卡源可压人全天在线,售后服务时间半年} 所有商品不议价 不明白的呼我留言具体说下你的要求 只要老板要 都可满足 走顺丰快递国内 国外随机 收到请放款 谢谢长期合作 || 为方便购买，设置15美元=100元单价 对公账户：9900/套（三个月），请拍99份 对公标配： 企业营业执照 身份证复印件YHK 营业执照正副本原件 章程 U盾 结算卡 公章 开户许可证 手机卡 公司企业对公账户 不还价 成本比较高 从字母到数字 {公司有很多类型，可挑} {商品：2 购买前说明 要求 || 需要开通国漫提前说明，开通免费 任何问题均可本处留言咨询，本人频繁上线，上线后第一时间解答,,,1.0,0.499756,T: 对公一手卡源价低可压人全天在线 || 4件套一手卡源可压人全天在线 | D: 为方便购买，设置15美元=100元单价 对公账户：9900/套（三个月），请拍99份 对公标配： 企业营业执照 身份证复印件YHK 营业执照正副本原件 章程 U盾 结算卡 公章 开户许可证 手机卡 公司企业对公账户 不还价 成本比较高 从字母到数字 {公司有很多类型，可挑} {商品：2 购买前说明 要求 | C: 实体物品,T: 对公一手卡源价低可压人全天在线 || 对公一手卡源价低可压人全天在线 | D: 为方便购买，设置15美元=100元单价 对公账户：9900/套（三个月），请拍99份 对公标配： 企业营业执照 身份证复印件YHK 营业执照正副本原件 章程 U盾 结算卡 公章 开户许可证 手机卡 公司企业对公账户 不还价 成本比较高 从字母到数字 {公司有很多类型，可挑} {商品：2 购买前说明 要求 | C: 实物,reviewed,uncertain,codex_step5_v3_calibrated_default_rereview_20260420,"Corrected Step 5 v3 calibrated-default cleanup: retained in the Step 11 primary graph as a no-shared-contact template clone. The overlap is too strong to ignore but is not seller-specific enough for positive supervision, and not strong enough by itself to assert seller-distinct negative supervision."
8,semantic_structural,market_item.xlsx|中文暗网交易市场|seller_raw:38978||market_item.xlsx|中文暗网交易市场|seller_raw:99610,sockpuppet_primary,medium,profile_lexical_neighbor|structural_support,7.638888,different_alias,true,中文暗网交易市场,中文暗网交易市场,38978,99610,,,,私人专拍,,1.0,0.819444,T: wangxiaoyu私人专拍 || wangxiaoyu私人专拍 | D: wangxiaoyu私人专拍 | C: 私人专拍,T: 私人专拍 || 私人专拍 | D: 私人专拍！！！！ | C: 私人专拍,reviewed,negative,codex_seed_v1,Private-shoot template is generic and provides insufficient seller-specific evidence.
9,identifier_primary,market_item.xlsx|中文暗网交易市场|seller_raw:516000||market_item.xlsx|茶马古道|seller_raw:/shop/5524,sockpuppet_primary,high,profile_lexical_neighbor|shared_contact_exact,9.047652,different_alias,false,中文暗网交易市场,茶马古道,516000,/shop/5524,email:der85@163.com || email:394@126.com,,,,,0.430016,0.233778,T: 韩国成衣专柜ELAND店长联系方式及对应大区经理联系方式 || 唐山天津部分超市信息供货采集 | D: 姓名 区域 单位全称 手机号 何大海 乐东 佛罗镇人民政府 155****2008 肖远付 琼海 75571部队 139****8810 周春梅 白沙 白沙黎族自治县人民法院 139****0768 888666 白沙 白沙黎族自治县人民检察院 133****6558 陈文君 省直 海南省公安厅 139****5... | C: 数据资源,T: 最新身份证信息正反面＋本人手持800份打包价500美元！！！只卖3份！！！最新材料 新鲜出炉 || 12.6万条全国医生资源低价打包 | D: 请悉知 数据如下： 产品名称 SN LN OPENID 用户姓名 联系方式 店面编码 店面名称 K店编码 K店名称 区域名称 上报人手机号 门店类型 渠道名称 销售通路 上报类型 上报结果 商品编码 产品组ID 产品组名称 3S状态 延保结果 延保原因 上报时间 完成时间 店面类型 大区 经销商编码 经销商名称 ... | C: 数据 || 虚拟,reviewed,uncertain,codex_conservative_positive_anchor_review_20260421,codex_review: uncertain; shared email evidence appears compatible with leaked/sample data rows and lacks enough seller-specific identity closure.
10,semantic_only,market_item.xlsx|茶马古道|seller_raw:/shop/395618||market_item.xlsx|茶马古道|seller_raw:/shop/9931,sockpuppet_primary,medium,profile_lexical_neighbor,5.866054,different_alias,true,茶马古道,茶马古道,/shop/395618,/shop/9931,,,,,,0.812292,0.496151,"T: 求购手机号绑定银行卡多套，bc套利用，也可合作 || 求购手机号绑定银行卡多套，bc套利用，也可合作 | D: 本人目前在某网站搞不少了,现在搞太多稳着来.需要安排不同的真实客户信息合作并线做屏蔽且避免风控缓解过早补丁,安全无风险,技术我来搞,你按照我说的来做就行,很简单,带你搞钱.我这边并线也赚.你赚的这边我抽一部分佣金.如不信请退出,拍完全程照我说的操作,千万不要乱动,出错了概不负责.但是一波就能带你赚回来,一点小钱就... | C: 四件套号卡","T: 想赚钱?黑客接单 || 想赚钱?黑客接单 | D: 本人目前在某网站搞不少了,现在搞太多稳着来.需要安排不同的真实客户信息合作并线做屏蔽且避免风控缓解过早补丁,安全无风险,技术我来搞,你按照我说的来做就行,很简单,带你搞钱.我这边并线也赚.你赚的这边我抽一部分佣金.帖子价格为一次性付费,拍下后带你一波赚了再放款.如无其他理由概不退款.重复一遍,需要就拍,带你赚钱再... | C: 服务",reviewed,uncertain,codex_manual_v2_20260326,"Long-form sales pitch overlaps strongly, but titles and categories diverge and no identifier support remains."
