pair_uid,row_kind,track,parent_pair_uid,review_label,seller_uid_left,seller_uid_right,split_name,component_id,fold,evidence_type,silver_train_only,training_sample_weight,seed,variant_index,transform,synthetic_train_only,synthetic_split_name,identifier_redacted_e5_cosine,clean_token_jaccard,clean_char3_jaccard,clean_title_token_jaccard,clean_description_token_jaccard,clean_category_token_jaccard,clean_text_length_gap_ratio,clean_segment_count_gap_ratio,clean_field_presence_match_fraction
synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_000/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_000/negative/v00/right,synthetic_transformed,silver_sensitivity,market_item.xlsx|中文暗网交易市场|seller_raw:494256||market_item.xlsx|茶马古道|seller_raw:/shop/433651,negative,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_000/negative/v00/left,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_000/negative/v00/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,template_clone_not_controller,1,0.060000000000,20260323,0,section_order_rotation,1,synthetic_train_only,0.891319751740,0.383050847458,0.096402877698,0.130769230769,0.393559928444,0.263157894737,0.138717339667,0.375000000000,1.000000000000
synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_000/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_000/positive/v00/right,synthetic_transformed,silver_sensitivity,market_item.xlsx|中文暗网交易市场|seller_raw:54210||market_item.xlsx|茶马古道|seller_raw:/shop/400997,positive,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_000/positive/v00/left,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_000/positive/v00/right,train,zh_target_strict_cc_f7f70f2184be4bbd,0,same_controller_direct_identifier,1,0.275000000000,20260323,0,section_order_rotation,1,synthetic_train_only,0.921272218227,0.289679098005,0.149612719119,0.168181818182,0.284552845528,0.105263157895,0.806235134217,0.763636363636,1.000000000000
synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_001/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_001/negative/v00/right,synthetic_transformed,silver_sensitivity,market_item.xlsx|中文暗网交易市场|seller_raw:36073||market_item.xlsx|茶马古道|seller_raw:/shop/6101,negative,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_001/negative/v00/left,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_001/negative/v00/right,train,zh_target_strict_cc_50c6ef9245347923,3,template_clone_not_controller,1,0.060000000000,20260323,0,section_order_rotation,1,synthetic_train_only,0.911296725273,0.279678068410,0.061529933481,0.168831168831,0.282051282051,0.333333333333,0.685618729097,0.595238095238,1.000000000000
synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_001/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_001/positive/v00/right,synthetic_transformed,silver_sensitivity,market_item.xlsx|中文暗网交易市场|seller_raw:121394||market_item.xlsx|中文暗网交易市场|seller_raw:157835,positive,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_001/positive/v00/left,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_001/positive/v00/right,train,zh_target_strict_cc_8d579273f8d400c6,3,same_controller_direct_identifier,1,0.275000000000,20260323,0,section_order_rotation,1,synthetic_train_only,0.923842310905,0.291338582677,0.025316455696,0.148148148148,0.297002724796,0.500000000000,0.217809096733,0.133333333333,1.000000000000
synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_002/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_002/negative/v00/right,synthetic_transformed,silver_sensitivity,market_item.xlsx|中文暗网交易市场|seller_raw:603220||market_item.xlsx|茶马古道|seller_raw:/shop/396767,negative,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_002/negative/v00/left,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_002/negative/v00/right,train,zh_target_strict_cc_ccff1905755794ed,2,template_clone_not_controller,1,0.060000000000,20260323,0,section_order_rotation,1,synthetic_train_only,0.873934566975,0.301242236025,0.030612244898,0.121621621622,0.280550774527,0.111111111111,0.586737266768,0.377358490566,1.000000000000
synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_002/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_002/positive/v00/right,synthetic_transformed,silver_sensitivity,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:45068,positive,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_002/positive/v00/left,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_002/positive/v00/right,train,zh_target_strict_cc_540db623f3f9599c,2,same_controller_direct_identifier,1,0.275000000000,20260323,0,section_order_rotation,1,synthetic_train_only,0.898415327072,0.258126195029,0.026928343222,0.162650602410,0.258000000000,1.000000000000,0.295140971806,0.137254901961,1.000000000000
synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_003/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_003/negative/v00/right,synthetic_transformed,silver_sensitivity,market_item.xlsx|中文暗网交易市场|seller_raw:546317||market_item.xlsx|茶马古道|seller_raw:/shop/404772,negative,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_003/negative/v00/left,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_003/negative/v00/right,train,zh_target_strict_cc_3b05f980bd46ca48,2,template_clone_not_controller,1,0.080000000000,20260323,0,section_order_rotation,1,synthetic_train_only,0.928154647350,0.383333333333,0.135755258126,0.243750000000,0.341637010676,0.250000000000,0.729270315091,0.600000000000,1.000000000000
synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_003/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_003/positive/v00/right,synthetic_transformed,silver_sensitivity,market_item.xlsx|中文暗网交易市场|seller_raw:361068||market_item.xlsx|中文暗网交易市场|seller_raw:596304,positive,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_003/positive/v00/left,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_003/positive/v00/right,train,zh_target_strict_cc_540db623f3f9599c,2,same_controller_direct_identifier,1,0.275000000000,20260323,0,section_order_rotation,1,synthetic_train_only,0.875625133514,0.114058355438,0.011786038078,0.076923076923,0.118644067797,1.000000000000,0.804680851064,0.823529411765,1.000000000000
synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_004/negative/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_004/negative/v00/right,synthetic_transformed,silver_sensitivity,market_item.xlsx|中文暗网交易市场|seller_raw:593428||market_item.xlsx|茶马古道|seller_raw:/shop/433481,negative,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_004/negative/v00/left,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_004/negative/v00/right,train,zh_target_strict_cc_e01a2866bbaf02be,3,template_clone_not_controller,1,0.060000000000,20260323,0,section_order_rotation,1,synthetic_train_only,0.897032082081,0.248062015504,0.021108179420,0.077562326870,0.255898366606,0.285714285714,0.774962096600,0.588235294118,1.000000000000
synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_004/positive/v00/left||synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_004/positive/v00/right,synthetic_transformed,silver_sensitivity,market_item.xlsx|中文暗网交易市场|seller_raw:157835||market_item.xlsx|中文暗网交易市场|seller_raw:435064,positive,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_004/positive/v00/left,synthetic://step27/v1_1/silver_sensitivity/seed_20260323/silver_sensitivity_matched_004/positive/v00/right,train,zh_target_strict_cc_8d579273f8d400c6,3,same_controller_direct_identifier,1,0.275000000000,20260323,0,section_order_rotation,1,synthetic_train_only,0.899279356003,0.264397905759,0.027586206897,0.086021505376,0.266129032258,1.000000000000,0.444879089616,0.434782608696,1.000000000000
