model_id,role,alias_of,seed_count,bootstrap_mode,threshold,threshold_source,valid_average_precision,seed_ids,metric_semantics_version,pr_auc_definition,average_precision_per_seed_values,average_precision_seed_mean,average_precision_seed_std,average_precision_seed_min,average_precision_seed_max,roc_auc_per_seed_values,roc_auc_seed_mean,roc_auc_seed_std,roc_auc_seed_min,roc_auc_seed_max,pr_auc_per_seed_values,pr_auc_seed_mean,pr_auc_seed_std,pr_auc_seed_min,pr_auc_seed_max,average_precision,average_precision_ci_low,average_precision_ci_high,average_precision_two_level_ci_low,average_precision_two_level_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,roc_auc_two_level_ci_low,roc_auc_two_level_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,pr_auc_two_level_ci_low,pr_auc_two_level_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,accuracy_two_level_ci_low,accuracy_two_level_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,balanced_accuracy_two_level_ci_low,balanced_accuracy_two_level_ci_high,f1,f1_ci_low,f1_ci_high,f1_two_level_ci_low,f1_two_level_ci_high,precision,precision_ci_low,precision_ci_high,precision_two_level_ci_low,precision_two_level_ci_high,recall,recall_ci_low,recall_ci_high,recall_two_level_ci_low,recall_two_level_ci_high,specificity,specificity_ci_low,specificity_ci_high,specificity_two_level_ci_low,specificity_two_level_ci_high,tp,tp_ci_low,tp_ci_high,tp_two_level_ci_low,tp_two_level_ci_high,tn,tn_ci_low,tn_ci_high,tn_two_level_ci_low,tn_two_level_ci_high,fp,fp_ci_low,fp_ci_high,fp_two_level_ci_low,fp_two_level_ci_high,fn,fn_ci_low,fn_ci_high,fn_two_level_ci_low,fn_two_level_ci_high
raw_e5_cosine,raw_semantic_control,,1,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.936962,mean_zh_valid_scores,0.50544074,0,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.54283900,0.542839,0.0,0.542839,0.542839,0.74800000,0.748,0.0,0.748,0.748,0.53709200,0.537092,0.0,0.537092,0.537092,0.542839,0.39360825,0.68256195,0.39360825,0.68256195,0.748,0.64432715,0.84119763,0.64432715,0.84119763,0.537092,0.37838588,0.67508072,0.37838588,0.67508072,0.785,0.70936,0.850746,0.70936,0.850746,0.696667,0.6051027,0.78463497,0.6051027,0.78463497,0.547368,0.38707868,0.674426,0.38707868,0.674426,0.577778,0.39471705,0.735294,0.39471705,0.735294,0.52,0.34541238,0.68254967,0.34541238,0.68254967,0.873333,0.810127,0.92805918,0.810127,0.92805918,26,14.0,40.0,14.0,40.0,131,105.0,161.0,105.0,161.0,19,10.0,29.0,10.0,29.0,24,13.0,37.0,13.0,37.0
raw_labse_cosine,raw_semantic_control,,1,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.927595,mean_zh_valid_scores,0.38798237,0,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.60847700,0.608477,0.0,0.608477,0.608477,0.81333300,0.813333,0.0,0.813333,0.813333,0.60370500,0.603705,0.0,0.603705,0.603705,0.608477,0.47334568,0.73645787,0.47334568,0.73645787,0.813333,0.73570958,0.88711388,0.73570958,0.88711388,0.603705,0.45817188,0.73150898,0.45817188,0.73150898,0.775,0.705882,0.8418437,0.705882,0.8418437,0.663333,0.591324,0.7494315,0.591324,0.7494315,0.494382,0.36143763,0.6236896,0.36143763,0.6236896,0.564103,0.404762,0.71875,0.404762,0.71875,0.44,0.307692,0.6,0.307692,0.6,0.886667,0.83029705,0.935714,0.83029705,0.935714,22,13.0,32.0,13.0,32.0,133,108.0,162.0,108.0,162.0,17,9.0,26.0,9.0,26.0,28,15.0,43.0,15.0,43.0
raw_bge_m3_cosine,raw_semantic_control,,1,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.904142,mean_zh_valid_scores,0.6031309,0,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.52658500,0.526585,0.0,0.526585,0.526585,0.74893300,0.748933,0.0,0.748933,0.748933,0.51915500,0.519155,0.0,0.519155,0.519155,0.526585,0.3904273,0.68380392,0.3904273,0.68380392,0.748933,0.65674575,0.83723112,0.65674575,0.83723112,0.519155,0.37357885,0.67280085,0.37357885,0.67280085,0.795,0.73014828,0.85556012,0.73014828,0.85556012,0.663333,0.59499685,0.73164925,0.59499685,0.73164925,0.493827,0.352941,0.611765,0.352941,0.611765,0.645161,0.45830325,0.807692,0.45830325,0.807692,0.4,0.276596,0.529412,0.276596,0.529412,0.926667,0.88234278,0.964286,0.88234278,0.964286,20,11.0,30.0,11.0,30.0,139,113.0,169.0,113.0,169.0,11,5.0,17.0,5.0,17.0,30,18.0,43.025,18.0,43.025
step9_labse_lr_l2_100pct_seed_mean,clean_step9_labse_candidate_for_valid_only_selection,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.261286,mean_zh_valid_scores,0.54898934,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.61397100;0.61397100;0.61397100;0.61397100;0.61397100;0.61397100;0.61397100;0.61397100;0.61397100;0.61397100,0.613971,0.0,0.613971,0.613971,0.83133300;0.83133300;0.83133300;0.83133300;0.83133300;0.83133300;0.83133300;0.83133300;0.83133300;0.83133300,0.831333,0.0,0.831333,0.831333,0.60946100;0.60946100;0.60946100;0.60946100;0.60946100;0.60946100;0.60946100;0.60946100;0.60946100;0.60946100,0.609461,0.0,0.609461,0.609461,0.613971,0.46148872,0.76876807,0.46148872,0.76876807,0.831333,0.75341063,0.9003195,0.75341063,0.9003195,0.609461,0.45055955,0.7639874,0.45055955,0.7639874,0.755,0.676329,0.8238106,0.676329,0.8238106,0.743333,0.6553303,0.81977515,0.6553303,0.81977515,0.595041,0.4564951,0.70199685,0.4564951,0.70199685,0.507042,0.35848395,0.64130912,0.35848395,0.64130912,0.72,0.57572575,0.84375,0.57572575,0.84375,0.766667,0.675862,0.84768877,0.675862,0.84768877,36,22.0,53.0,22.0,53.0,115,90.0,145.0,90.0,145.0,35,23.0,49.0,23.0,49.0,14,7.0,22.0,7.0,22.0
step9_e5_lr_l2_100pct_seed_mean,clean_step9_e5_candidate_for_valid_only_selection,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.557593,mean_zh_valid_scores,0.62500603,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.57563300;0.57563300;0.57563300;0.57563300;0.57563300;0.57563300;0.57563300;0.57563300;0.57563300;0.57563300,0.575633,0.0,0.575633,0.575633,0.76546700;0.76546700;0.76546700;0.76546700;0.76546700;0.76546700;0.76546700;0.76546700;0.76546700;0.76546700,0.765467,0.0,0.765467,0.765467,0.57156100;0.57156100;0.57156100;0.57156100;0.57156100;0.57156100;0.57156100;0.57156100;0.57156100;0.57156100,0.571561,0.0,0.571561,0.571561,0.575633,0.42670933,0.72015655,0.42670933,0.72015655,0.765467,0.66577313,0.84908675,0.66577313,0.84908675,0.571561,0.41691388,0.71463972,0.41691388,0.71463972,0.785,0.7151859,0.85492395,0.7151859,0.85492395,0.61,0.54619925,0.68379017,0.54619925,0.68379017,0.376812,0.222222,0.53168817,0.222222,0.53168817,0.684211,0.411765,0.9445171,0.411765,0.9445171,0.26,0.142857,0.4,0.142857,0.4,0.96,0.907143,0.993902,0.907143,0.993902,13,6.0,21.0,6.0,21.0,144,118.0,175.0,118.0,175.0,6,1.0,14.0,1.0,14.0,37,22.0,54.0,22.0,54.0
step9_bge_m3_residual_lr_100pct_seed_mean,clean_step9_bge_residual_candidate_for_valid_only_selection,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.620885,mean_zh_valid_scores,0.56783746,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.55635800;0.55635800;0.55635800;0.55635800;0.55635800;0.55635800;0.55635800;0.55635800;0.55635800;0.55635800,0.556358,0.0,0.556358,0.556358,0.79426700;0.79426700;0.79426700;0.79426700;0.79426700;0.79426700;0.79426700;0.79426700;0.79426700;0.79426700,0.794267,0.0,0.794267,0.794267,0.55115900;0.55115900;0.55115900;0.55115900;0.55115900;0.55115900;0.55115900;0.55115900;0.55115900;0.55115900,0.551159,0.0,0.551159,0.551159,0.556358,0.40485208,0.71418618,0.40485208,0.71418618,0.794267,0.7090577,0.86673155,0.7090577,0.86673155,0.551159,0.39193343,0.70699327,0.39193343,0.70699327,0.785,0.71497542,0.85465345,0.71497542,0.85465345,0.663333,0.58736003,0.74968618,0.58736003,0.74968618,0.494118,0.345679,0.635294,0.345679,0.635294,0.6,0.40414863,0.806483,0.40414863,0.806483,0.42,0.27776125,0.586957,0.27776125,0.586957,0.906667,0.8354376,0.96319112,0.8354376,0.96319112,21,12.0,31.0,12.0,31.0,136,109.975,167.025,109.975,167.025,14,6.0,25.0,6.0,25.0,29,15.0,46.0,15.0,46.0
step9_e5_mixup_100pct_seed_mean,clean_step9_mixup_control,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.3639795,mean_zh_valid_scores,0.5820098,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.57032400;0.55105400;0.55166300;0.56578100;0.54875000;0.57395800;0.56635200;0.56985800;0.56979200;0.55031800,0.561785,0.0100345,0.54875,0.573958,0.76413300;0.75946700;0.75680000;0.76106700;0.75720000;0.76600000;0.76080000;0.76600000;0.76346700;0.74573300,0.7600667,0.00600691,0.745733,0.766,0.56579800;0.54564100;0.54656300;0.56107500;0.54316900;0.56948600;0.56171100;0.56532200;0.56527800;0.54539700,0.556944,0.01040159,0.543169,0.569486,0.562753,0.41145365,0.70808345,0.411502,0.7090039,0.7596,0.66377998,0.84011397,0.66410938,0.84067665,0.557987,0.39902865,0.7010834,0.39840455,0.7032752,0.695,0.62188778,0.7636385,0.6190421,0.76239242,0.67,0.58066693,0.7533504,0.57827487,0.75222695,0.504065,0.363636,0.616541,0.363636,0.615385,0.424658,0.290323,0.546667,0.28982513,0.54369327,0.62,0.44439848,0.781818,0.444444,0.781818,0.72,0.63156968,0.802632,0.625,0.80239685,31,18.0,48.0,18.0,48.0,108,85.0,135.025,84.0,135.0,42,29.0,57.0,29.0,58.0,19,10.0,30.0,10.0,30.0
step9_identifier_operational_100pct_seed_mean,identifier_operational_control_not_clean_claim,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.4891865,mean_zh_valid_scores,0.68269029,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.78336400;0.78336400;0.78336400;0.78336400;0.78336400;0.78336400;0.78336400;0.78336400;0.78336400;0.78336400,0.783364,0.0,0.783364,0.783364,0.86333300;0.86333300;0.86333300;0.86333300;0.86333300;0.86333300;0.86333300;0.86333300;0.86333300;0.86333300,0.863333,0.0,0.863333,0.863333,0.78185300;0.78185300;0.78185300;0.78185300;0.78185300;0.78185300;0.78185300;0.78185300;0.78185300;0.78185300,0.781853,0.0,0.781853,0.781853,0.783364,0.6508672,0.8880718,0.6508672,0.8880718,0.863333,0.78813578,0.92939087,0.78813578,0.92939087,0.781853,0.64479962,0.88676987,0.64479962,0.88676987,0.84,0.77560478,0.90059395,0.77560478,0.90059395,0.733333,0.65129827,0.81406692,0.65129827,0.81406692,0.619048,0.461538,0.75,0.461538,0.75,0.764706,0.542857,0.970588,0.542857,0.970588,0.52,0.365854,0.678571,0.365854,0.678571,0.946667,0.88147522,0.993827,0.88147522,0.993827,26,15.0,39.0,15.0,39.0,142,115.0,173.0,115.0,173.0,8,1.0,18.0,1.0,18.0,24,13.0,37.0,13.0,37.0
step15_v6_source_only_lr_l2,source_identity_labels_only_with_unlabeled_target_reference_control,,10,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.34646405,source_valid_frozen_threshold_mean,,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.51143000;0.52470100;0.52208100;0.50468200;0.52374600;0.52055900;0.52304600;0.52319100;0.50244900;0.52666200,0.5182547,0.00875773,0.502449,0.526662,0.72773300;0.74000000;0.73586700;0.71560000;0.73866700;0.73320000;0.73693300;0.73760000;0.71200000;0.74200000,0.73196,0.01036923,0.712,0.742,0.50552000;0.51932300;0.51670800;0.49879500;0.51837000;0.51519200;0.51767300;0.51781600;0.49656800;0.52129800,0.5127263,0.00899539,0.496568,0.521298,0.519494,0.36795128,0.68532312,0.36873268,0.68552795,0.732133,0.63924695,0.82166417,0.6384597,0.82182212,0.514127,0.35381053,0.6786245,0.35553473,0.67853537,0.755,0.67741178,0.8323708,0.67741178,0.83170017,0.61,0.5238689,0.7054616,0.5238689,0.7054616,0.395062,0.215385,0.567914,0.215385,0.567914,0.516129,0.285714,0.76004762,0.285714,0.76004762,0.32,0.162791,0.50727672,0.162791,0.50727672,0.9,0.821429,0.961538,0.821429,0.961538,16,7.0,27.0,7.0,27.0,135,108.0,166.025,108.0,166.025,15,6.0,27.0,6.0,27.0,34,19.0,52.0,19.0,52.0
step7_source_only_default_fusion,source_only_lightgbm_fusion_collapse_diagnostic,,1,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,0.480114,source_valid_frozen_threshold_mean,,0,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.35842200,0.358422,0.0,0.358422,0.358422,0.60400000,0.604,0.0,0.604,0.604,0.41644400,0.416444,0.0,0.416444,0.416444,0.358422,0.24541753,0.50263992,0.24541753,0.50263992,0.604,0.49897617,0.71095492,0.49897617,0.71095492,0.416444,0.280421,0.56577952,0.280421,0.56577952,0.54,0.447115,0.62921542,0.447115,0.62921542,0.573333,0.47499345,0.66777495,0.47499345,0.66777495,0.410256,0.294118,0.52000577,0.294118,0.52000577,0.301887,0.20353625,0.40945087,0.20353625,0.40945087,0.64,0.5,0.78265162,0.5,0.78265162,0.506667,0.402597,0.607143,0.402597,0.607143,32,21.0,46.0,21.0,46.0,76,55.0,101.0,55.0,101.0,74,56.0,93.0,56.0,93.0,18,8.0,29.025,8.0,29.025
